Index Name,S&P/BMV Total Mexico Index (MXN) TR
23-Oct-20,120.0246449
22-Oct-20,119.9515711
21-Oct-20,119.8396941
20-Oct-20,118.5403749
19-Oct-20,116.9206225
16-Oct-20,117.5453278
15-Oct-20,118.1020527
14-Oct-20,118.0316759
13-Oct-20,118.3528516
12-Oct-20,118.9984376
9-Oct-20,119.3648769
8-Oct-20,118.9892571
7-Oct-20,116.1035296
6-Oct-20,114.7035309
5-Oct-20,114.1590602
2-Oct-20,113.8356064
1-Oct-20,113.697437
30-Sep-20,116.1524108
29-Sep-20,115.0761659
28-Sep-20,115.3062666
25-Sep-20,113.3993979
24-Sep-20,112.2129736
23-Sep-20,110.8830922
22-Sep-20,110.995315
21-Sep-20,110.0462182
18-Sep-20,111.592842
17-Sep-20,111.928281
15-Sep-20,113.6854411
14-Sep-20,114.0838338
11-Sep-20,112.5262244
10-Sep-20,112.0303007
9-Sep-20,112.0542922
8-Sep-20,111.7997351
7-Sep-20,113.6218418
4-Sep-20,112.9269765
3-Sep-20,112.9752166
2-Sep-20,114.7985702
1-Sep-20,116.0768526
31-Aug-20,114.1222115
28-Aug-20,116.9445054
27-Aug-20,116.4582185
26-Aug-20,116.8584533
25-Aug-20,118.2293007
24-Aug-20,117.5043577
21-Aug-20,117.6772859
20-Aug-20,119.4020718
19-Aug-20,120.3636824
18-Aug-20,120.5865995
17-Aug-20,121.0725015
14-Aug-20,120.2663697
13-Aug-20,119.1886274
12-Aug-20,119.2782826
11-Aug-20,119.4347596
10-Aug-20,118.1748199
7-Aug-20,117.2398302
6-Aug-20,117.2074081
5-Aug-20,116.8841092
4-Aug-20,115.5694437
3-Aug-20,115.6429557
31-Jul-20,114.1815569
30-Jul-20,114.3665064
29-Jul-20,115.9874503
28-Jul-20,116.0210303
27-Jul-20,115.9882797
24-Jul-20,115.0006162
23-Jul-20,115.1848127
22-Jul-20,115.1471914
21-Jul-20,113.4356313
20-Jul-20,111.8718178
17-Jul-20,112.0063594
16-Jul-20,112.2797392
15-Jul-20,112.534476
14-Jul-20,111.2829768
13-Jul-20,111.8484969
10-Jul-20,112.0512361
9-Jul-20,113.0274249
8-Jul-20,115.0543518
7-Jul-20,115.9663074
6-Jul-20,116.1510508
3-Jul-20,116.2721975
2-Jul-20,116.0211864
1-Jul-20,115.2600361
30-Jun-20,115.5228549
29-Jun-20,115.6746953
26-Jun-20,114.7139542
25-Jun-20,115.7129768
24-Jun-20,116.2412047
23-Jun-20,117.1519987
22-Jun-20,116.7642874
19-Jun-20,117.4359693
18-Jun-20,115.1740565
17-Jun-20,115.940592
16-Jun-20,116.005007
15-Jun-20,114.53656
12-Jun-20,115.3517591
11-Jun-20,112.7985239
10-Jun-20,117.1551249
9-Jun-20,119.7623703
8-Jun-20,122.1810507
5-Jun-20,119.0930655
4-Jun-20,115.7229383
3-Jun-20,116.9345268
2-Jun-20,114.3965429
1-Jun-20,112.8397754
29-May-20,110.483938
28-May-20,111.5134758
27-May-20,112.638644
26-May-20,110.5743826
25-May-20,109.4438077
22-May-20,109.1735076
21-May-20,108.6031919
20-May-20,109.8919922
19-May-20,109.2587824
18-May-20,112.8710741
15-May-20,108.6875822
14-May-20,109.8839462
13-May-20,110.6904424
12-May-20,113.8356137
11-May-20,114.3264546
8-May-20,114.4135193
7-May-20,111.9914322
6-May-20,112.3311504
5-May-20,111.35671
4-May-20,110.553301
30-Apr-20,111.0672046
29-Apr-20,112.3426265
28-Apr-20,108.8000143
27-Apr-20,106.3219734
24-Apr-20,105.2248234
23-Apr-20,103.9749634
22-Apr-20,103.7938927
21-Apr-20,102.8013195
20-Apr-20,104.5378121
17-Apr-20,105.371448
16-Apr-20,102.7009008
15-Apr-20,102.9592507
14-Apr-20,105.565823
13-Apr-20,105.1088682
8-Apr-20,105.067758
7-Apr-20,104.9558347
6-Apr-20,104.1527657
3-Apr-20,100.1166072
2-Apr-20,101.8257009
1-Apr-20,102.0303278
31-Mar-20,104.7572154
30-Mar-20,103.5651721
27-Mar-20,102.744742
26-Mar-20,108.3417038
25-Mar-20,107.7865646
24-Mar-20,103.9623238
23-Mar-20,99.02848485
20-Mar-20,103.4077717
19-Mar-20,106.0283688
18-Mar-20,107.3448608
17-Mar-20,111.8788867
13-Mar-20,116.2535794
12-Mar-20,111.8891429
11-Mar-20,118.4816602
10-Mar-20,121.3058019
9-Mar-20,118.6296386
6-Mar-20,126.6239182
5-Mar-20,129.6243051
4-Mar-20,132.4705572
3-Mar-20,129.5551513
2-Mar-20,128.8275068
28-Feb-20,126.3585959
27-Feb-20,127.2181642
26-Feb-20,130.6242367
25-Feb-20,131.5724187
24-Feb-20,133.6186234
21-Feb-20,136.5707816
20-Feb-20,136.5446491
19-Feb-20,136.9461781
18-Feb-20,137.1289333
17-Feb-20,137.2282172
14-Feb-20,137.2872868
13-Feb-20,137.2559936
12-Feb-20,138.1835633
11-Feb-20,137.1699699
10-Feb-20,135.0577843
7-Feb-20,135.4381037
6-Feb-20,135.6907249
5-Feb-20,136.5654485
4-Feb-20,137.3840052
31-Jan-20,134.5333336
30-Jan-20,136.5961371
29-Jan-20,137.378562
28-Jan-20,136.1380173
27-Jan-20,134.4322867
24-Jan-20,137.445286
23-Jan-20,138.534753
22-Jan-20,138.9076508
21-Jan-20,138.9890581
20-Jan-20,139.7568052
17-Jan-20,139.5334628
16-Jan-20,137.8521314
15-Jan-20,135.381896
14-Jan-20,136.1965067
13-Jan-20,136.4344751
10-Jan-20,135.8582857
9-Jan-20,135.5423811
8-Jan-20,135.2566345
7-Jan-20,134.3478696
6-Jan-20,135.4107984
3-Jan-20,135.7077762
2-Jan-20,135.1684869
31-Dec-19,132.4539883
30-Dec-19,132.800483
27-Dec-19,134.5906791
26-Dec-19,134.6798656
24-Dec-19,134.3175955
23-Dec-19,134.6412058
20-Dec-19,135.2799354
19-Dec-19,135.6313992
18-Dec-19,136.9189672
17-Dec-19,134.938583
16-Dec-19,134.6552276
13-Dec-19,134.455312
11-Dec-19,131.4747527
10-Dec-19,129.9502188
9-Dec-19,127.940535
6-Dec-19,128.0296463
5-Dec-19,128.920354
4-Dec-19,128.8666516
3-Dec-19,129.0916062
2-Dec-19,129.9110215
29-Nov-19,130.8361471
28-Nov-19,131.5849124
27-Nov-19,131.3343996
26-Nov-19,130.8127714
25-Nov-19,132.7078038
22-Nov-19,132.4590305
21-Nov-19,131.7267399
20-Nov-19,132.6715123
19-Nov-19,132.4805226
15-Nov-19,131.8538603
14-Nov-19,131.1778587
13-Nov-19,130.8461745
12-Nov-19,130.966598
11-Nov-19,132.2664495
8-Nov-19,132.567479
7-Nov-19,133.7195393
6-Nov-19,132.6843263
5-Nov-19,132.1527213
4-Nov-19,132.7741351
1-Nov-19,132.8017929
31-Oct-19,131.2276679
30-Oct-19,132.2561721
29-Oct-19,132.6294651
28-Oct-19,132.4714129
25-Oct-19,131.3176961
24-Oct-19,132.3306295
23-Oct-19,131.842232
22-Oct-19,131.4687036
21-Oct-19,131.5897268
18-Oct-19,130.8332363
17-Oct-19,131.7537021
16-Oct-19,131.9139618
15-Oct-19,131.1483406
14-Oct-19,131.2647245
11-Oct-19,131.0626362
10-Oct-19,130.2551737
9-Oct-19,128.832712
8-Oct-19,128.9626118
7-Oct-19,130.1038932
